Profiling shortest path
=======================

         96411 function calls (95354 primitive calls) in 4.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     8000    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1000    0.001    0.000    0.001    0.000 __init__.py:2544(get_edge_filter)
     3000    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     5000    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     3000    0.001    0.000    0.001    0.000 __init__.py:606(key_type)
     3000    0.001    0.000    0.001    0.000 __init__.py:2842(__get_base)
     4000    0.001    0.000    0.001    0.000 inspect.py:2445(kind)
     4000    0.001    0.000    0.001    0.000 inspect.py:2441(annotation)
     4000    0.001    0.000    0.001    0.000 inspect.py:2437(default)
     2000    0.001    0.000    0.001    0.000 __init__.py:1993(<lambda>)
     1000    0.001    0.000    0.001    0.000 __init__.py:2513(get_vertex_filter)
     2000    0.001    0.000    0.001    0.000 __init__.py:461(<lambda>)
     1000    0.000    0.000    0.000    0.000 __init__.py:2069(_get_vertex_index)
     1000    0.000    0.000    0.000    0.000 __init__.py:2458(set_filters)
     1000    0.000    0.000    0.000    0.000 decorators.py:99(<listcomp>)
     1000    0.000    0.000    0.000    0.000 inspect.py:2744(return_annotation)
     1000    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1000    0.000    0.000    0.000    0.000 inspect.py:2740(parameters)
     1000    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1000    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling betweenness
=====================

         141 function calls in 744.334 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  744.334  744.334 {built-in method builtins.exec}
        1    0.000    0.000  744.334  744.334 <string>:1(<module>)
        3  744.333  248.111  744.333  248.111 __init__.py:231(betweenness)
        3    0.000    0.000    0.001    0.000 __init__.py:2147(new_vertex_property)
       12    0.000    0.000    0.000    0.000 __init__.py:183(_type_alias)
       12    0.000    0.000    0.000    0.000 __init__.py:2856(value_types)
        6    0.000    0.000    0.000    0.000 __init__.py:458(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:2169(new_edge_property)
        6    0.000    0.000    0.000    0.000 __init__.py:506(__del__)
        6    0.000    0.000    0.000    0.000 __init__.py:501(__unregister_map)
        6    0.000    0.000    0.000    0.000 __init__.py:245(_converter)
        6    0.000    0.000    0.000    0.000 __init__.py:206(_python_type)
        9    0.000    0.000    0.000    0.000 __init__.py:146(_prop)
        6    0.000    0.000    0.000    0.000 __init__.py:496(__register_map)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.000    0.000 __init__.py:610(value_type)
        3    0.000    0.000    0.000    0.000 __init__.py:299(_c_str)
       12    0.000    0.000    0.000    0.000 __init__.py:461(<lambda>)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:606(key_type)


